SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001001,固定资产,30102000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001004,无形资产,7702000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001005,商誉,22586000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001009,递延税项资产,2193000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001011,长期应收款,13684000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001017,长期投资,41721000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001030,中长期存款,98535000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,42408000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001999,非流动资产合计,258931000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004002003,应收帐款,10104000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004002006,应收关联方款项,790000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004002008,短期投资,102608000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,11697000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004002010,现金及等价物,24832000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004002997,流动资产其他项目,18818000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004002999,流动资产合计,168849000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004009999,总资产,427780000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004011001,应付帐款,41443000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004011002,应付票据,8268000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004011005,应付关联方款项(流动),1794000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),3303000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004011007,递延收入(流动),684000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004011009,预收款项,14624000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004011010,短期贷款,10837000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004011999,流动负债合计,80953000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004013999,净流动资产,87896000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,346827000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004020001,长期贷款,15596000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004020003,递延税项负债,3870000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004020004,应付关联方款项(非流动),56000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),4973000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004020006,递延收入(非流动),816000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004020007,可转换票据及债券,8351000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004020010,其他非流动负债,1557000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004020018,应付票据(非流动),27996000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004020999,非流动负债合计,63215000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004025999,总负债,144168000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004027999,少数股东权益,19992000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004028999,净资产,283612000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004030997,股东权益其他项目,263620000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004030999,股东权益,263620000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004036999,总权益,283612000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,346827000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004039999,总权益及总负债,427780000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004060999,非运算项目,273742000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001001,固定资产,27960000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001004,无形资产,7848000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001005,商誉,22586000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001009,递延税项资产,2100000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001010,预付款项,13198000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001011,长期应收款,195000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001017,长期投资,47957000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001030,中长期存款,24666000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,29994000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001999,非流动资产合计,176504000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004002003,应收帐款,10848000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004002006,应收关联方款项,1424000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004002008,短期投资,168670000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,11503000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004002010,现金及等价物,25231000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004002997,流动资产其他项目,12579000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004002999,流动资产合计,230255000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004009999,总资产,406759000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004011001,应付帐款,37717000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004011002,应付票据,8831000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004011005,应付关联方款项(流动),1603000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),3108000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004011007,递延收入(流动),306000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004011009,预收款项,14627000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004011010,短期贷款,10259000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004011999,流动负债合计,76451000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004013999,净流动资产,153804000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,330308000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020001,长期贷款,14223000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020003,递延税项负债,2725000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020004,应付关联方款项(非流动),77000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),5040000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020006,递延收入(非流动),681000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020007,可转换票据及债券,8144000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020018,应付票据(非流动),34990000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020997,非流动负债其他项目,1820000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020999,非流动负债合计,67700000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004025999,总负债,144151000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004027999,少数股东权益,18982000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004028999,净资产,262608000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004030004,保留溢利(累计亏损),161240000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004030005,公积金,87099000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004030012,库存股,-3818000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004030013,其他综合性收益,-895000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004030999,股东权益,243626000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004036999,总权益,262608000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,330308000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004039999,总权益及总负债,406759000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004060999,非运算项目,253143000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004001001,固定资产,23973000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004001004,无形资产,8095000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004001005,商誉,22477000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004001009,递延税项资产,2129000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004001011,长期应收款,60000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004001017,长期投资,55297000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004001030,中长期存款,23629000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,42463000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004001999,非流动资产合计,178123000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004002003,应收帐款,11733000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004002006,应收关联方款项,5432000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004002008,短期投资,120839000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,11330000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004002010,现金及等价物,53156000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004002997,流动资产其他项目,10360000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004002999,流动资产合计,212850000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004009999,总资产,390973000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004011001,应付帐款,38014000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004011002,应付票据,15209000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004011005,应付关联方款项(流动),5067000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),2809000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004011007,递延收入(流动),72000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004011009,预收款项,13116000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004011010,短期贷款,5343000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004011999,流动负债合计,79630000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004013999,净流动资产,133220000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,311343000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004020001,长期贷款,13722000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004020003,递延税项负债,2898000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004020004,应付关联方款项(非流动),99000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),4810000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004020006,递延收入(非流动),490000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004020007,可转换票据及债券,9568000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004020018,应付票据(非流动),39893000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004020997,非流动负债其他项目,2058000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004020999,非流动负债合计,73538000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004025999,总负债,153168000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004027999,少数股东权益,14327000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004028999,净资产,237805000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004030004,保留溢利(累计亏损),148341000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004030005,公积金,79855000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004030012,库存股,-5264000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004030013,其他综合性收益,546000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004030999,股东权益,223478000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004036999,总权益,237805000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,311343000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004039999,总权益及总负债,390973000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,004060999,非运算项目,229412000000.0,2022-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004001001,固定资产,23027000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004001004,无形资产,8947000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004001005,商誉,22605000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004001009,递延税项资产,2372000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004001011,长期应收款,3487000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004001017,长期投资,59418000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004001030,中长期存款,7914000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,38949000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004001999,非流动资产合计,166719000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004002003,应收帐款,9981000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004002006,应收关联方款项,1368000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004002008,短期投资,143243000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,10821000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004002010,现金及等价物,36850000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004002997,流动资产其他项目,11052000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004002999,流动资产合计,213315000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004009999,总资产,380034000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004011001,应付帐款,41384000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004011002,应付票据,10505000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004011005,应付关联方款项(流动),1764000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),2862000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004011007,递延收入(流动),97000000.0,2021-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,004011009,预收款项,13706000000.0,2021-12-31 00:00:00
